codigo_dm,url_imagen,skus_vinculados,sku_ids,metodo_vinculacion,calidad_match,descripcion_dm,codigo_oem,codigo_cromosol
02/068/010,https://s3.amazonaws.com/distribuidoradm/02-068-010.jpg,3,05719013-f3b6-4f54-b596-ed809734d3d3|9a8f29fd-49a8-4a77-8ae1-899db621529b|3dd98c0d-8235-4b47-bf6f-e8ec409c6e5f,oem_directo,alta,OJO DE GATO STRADA 05/14 STRADA 20/ DERECHO,51728393,39040/D
04/052/161,https://s3.amazonaws.com/distribuidoradm/04-052-161.jpg,2,ec0c2e73-3a13-4ead-bc8b-5260c7197415|5d7870c2-2d2c-42ff-85a4-0c2e603f25cd,oem_directo,alta,PARTES DE CARROCERIA 207 08/ GUARDABARRO DELANTERO C/AGUJERO IZQUIERDO,7840W7,42003/60I
04/052/160,https://s3.amazonaws.com/distribuidoradm/04-052-160.jpg,3,d9d852c2-9e6d-4752-87fc-f247ba9b6e79|1a7294b1-e3e0-4f19-9b67-07cd1ea113ee|1555d3e9-82c2-40d5-b5a7-788d40504c1d,oem_directo,alta,PARTES DE CARROCERIA 207 08/ GUARDABARRO DELANTERO C/AGUJERO DERECHO,7841Y9,42003/60D
04/019/019,https://s3.amazonaws.com/distribuidoradm/04-019-019.jpg,10,ce474b14-ed09-4d36-8acc-fad9b63c6843|970bd3f9-ce08-4af2-b83f-6f1758f1be2f|fe0dd940-230e-4b41-80de-59ac58b1770f|7a10d614-d94f-45e4-9a03-282bc47483bc|2f41cbfa-3d4e-4163-a58d-4f7010f3a126|59f868ec-2820-4614-8783-9eb28e54d931|97ae62ed-9f91-44f6-9cd4-09b312ce2d3d|b5caa57b-f47f-4e0b-a8dd-b05cd2c818b4|d3a3c9be-c038-4081-9a48-9f8651c7e6c4|5fc04a11-324d-4f13-b904-b13897718d3b,oem_directo,alta,SPOILER 207 DELANTERO IZQUIERDO,742213,42003/5I
04/019/018,https://s3.amazonaws.com/distribuidoradm/04-019-018.jpg,10,ce474b14-ed09-4d36-8acc-fad9b63c6843|970bd3f9-ce08-4af2-b83f-6f1758f1be2f|d3a3c9be-c038-4081-9a48-9f8651c7e6c4|5fc04a11-324d-4f13-b904-b13897718d3b|fe0dd940-230e-4b41-80de-59ac58b1770f|7a10d614-d94f-45e4-9a03-282bc47483bc|2f41cbfa-3d4e-4163-a58d-4f7010f3a126|59f868ec-2820-4614-8783-9eb28e54d931|97ae62ed-9f91-44f6-9cd4-09b312ce2d3d|b5caa57b-f47f-4e0b-a8dd-b05cd2c818b4,oem_directo,alta,SPOILER 207 DELANTERO DERECHO,742213,42003/5D
04/052/148,https://s3.amazonaws.com/distribuidoradm/04-052-148.jpg,3,4656d9c4-2a0c-4544-b93b-810f425e2bc8|dcba353b-b148-44cb-8ed7-02a0cb0d83b3|0ce34f1f-63d5-48b2-983d-476d320cdf6b,oem_directo,alta,PARTES DE CARROCERIA 207 08/ CAPOT,7901R5,42003/50
04/053/004,https://s3.amazonaws.com/distribuidoradm/04-053-004.jpg,1,ac8dfe94-d3d8-42c7-9c0b-a44a86bcfcdf,cromosol_equivalencia,alta,PORTAPATENTES 207,7551470N,42003/3
04/059/028,https://s3.amazonaws.com/distribuidoradm/04-059-028.jpg,3,6513109b-895c-46e8-8858-e65f2241d3b6|8bb66248-4bd6-49eb-9c53-38af9254c3a7|9ebe43c3-2adf-4330-9bca-9b48c7151949,oem_directo,alta,ALMAS DE PARAGOLPE 207 SUPERIOR,7416P6,42003/22
04/027/108,https://s3.amazonaws.com/distribuidoradm/04-027-108.jpg,6,925eb1ca-2959-4f33-bbba-707d778fbb2d|63de6db6-1b93-45b6-937a-5edb1c31be9d|58eaea61-8a21-4ddd-8b6e-be3c908c7611|71735ff4-0330-4e2a-88c3-19ecb3863117|0878cd70-ffe4-4562-9815-1feb96041725|52530deb-2b94-433f-bd0b-a3ef9242e848,oem_directo,alta,PARAGOLPES 207 DELANTERO C/AGUJERO,7401QN,42003/21
04/027/109,https://s3.amazonaws.com/distribuidoradm/04-027-109.jpg,10,389b59f1-d81c-4dce-97a5-171199d5ee9d|43f29f34-e46a-4a4f-99a9-56e47e0a5267|d83b708a-cf1a-4902-b6d2-6eff6cf3ec0c|d3208044-937c-4399-8b73-64951095fefe|0f98af34-c42c-443c-b123-910fcc34fb8c|03afbe9b-3e93-4896-a29a-bf44a07f0e47|d2f20cf6-7c55-4978-9831-7ba61bf652f5|4e93dd33-9936-4003-af3d-f2b1da6b7d48|e176edd8-8847-4053-a350-c665bda1416b|980ededf-bb1c-419b-8aa4-ef83cd2d07e4,oem_directo,alta,PARAGOLPES 207 SEDAN DELANTERO S/AGUJERO,7401QL,42003/20
04/059/028,https://s3.amazonaws.com/distribuidoradm/04-059-028.jpg,3,6513109b-895c-46e8-8858-e65f2241d3b6|8bb66248-4bd6-49eb-9c53-38af9254c3a7|9ebe43c3-2adf-4330-9bca-9b48c7151949,oem_directo,alta,ALMAS DE PARAGOLPE 207 SUPERIOR,7416P6,42003/2
04/027/109,https://s3.amazonaws.com/distribuidoradm/04-027-109.jpg,10,389b59f1-d81c-4dce-97a5-171199d5ee9d|43f29f34-e46a-4a4f-99a9-56e47e0a5267|d83b708a-cf1a-4902-b6d2-6eff6cf3ec0c|d3208044-937c-4399-8b73-64951095fefe|d2f20cf6-7c55-4978-9831-7ba61bf652f5|4e93dd33-9936-4003-af3d-f2b1da6b7d48|e176edd8-8847-4053-a350-c665bda1416b|980ededf-bb1c-419b-8aa4-ef83cd2d07e4|0f98af34-c42c-443c-b123-910fcc34fb8c|03afbe9b-3e93-4896-a29a-bf44a07f0e47,oem_directo,alta,PARAGOLPES 207 SEDAN DELANTERO S/AGUJERO,7401QL,42003/2
04/027/150,https://s3.amazonaws.com/distribuidoradm/04-027-150.jpg,4,ffc0126f-ac10-4771-ab9c-65c9018e42a9|06a61ab0-4dd1-41da-a42f-d3cdbd9f7c5f|d7aa19cb-b44e-49ef-962a-cc477e6da1f1|52240090-fb2c-4eba-abd5-43ea5eb4d4dd,oem_directo,alta,PARAGOLPES 207 TRASERO 3/5 PTAS,7410HC,42006/1
04/027/108,https://s3.amazonaws.com/distribuidoradm/04-027-108.jpg,6,925eb1ca-2959-4f33-bbba-707d778fbb2d|63de6db6-1b93-45b6-937a-5edb1c31be9d|52530deb-2b94-433f-bd0b-a3ef9242e848|58eaea61-8a21-4ddd-8b6e-be3c908c7611|71735ff4-0330-4e2a-88c3-19ecb3863117|0878cd70-ffe4-4562-9815-1feb96041725,oem_directo,alta,PARAGOLPES 207 DELANTERO C/AGUJERO,7401QN,42003/2
04/060/026,https://s3.amazonaws.com/distribuidoradm/04-060-026.jpg,4,76dcdcc4-5825-4356-ab8f-a46806f634d2|95d23f2d-18a6-4465-b39f-ea00e2c8606f|3d97f97a-ab49-44f7-8e89-85effe7e8749|520ad1db-b6cc-4498-b509-8b7bce5af81f,oem_directo,alta,BANDAS DE PARAGOLPE 207 DELANTERA DERECHA CORTA,7452WL,42003/11D
04/060/027,https://s3.amazonaws.com/distribuidoradm/04-060-027.jpg,4,76dcdcc4-5825-4356-ab8f-a46806f634d2|95d23f2d-18a6-4465-b39f-ea00e2c8606f|3d97f97a-ab49-44f7-8e89-85effe7e8749|520ad1db-b6cc-4498-b509-8b7bce5af81f,oem_directo,alta,BANDAS DE PARAGOLPE 207 DELANTERA IZQUIERDA LARGA,7452WL,42003/1
04/060/026,https://s3.amazonaws.com/distribuidoradm/04-060-026.jpg,4,520ad1db-b6cc-4498-b509-8b7bce5af81f|76dcdcc4-5825-4356-ab8f-a46806f634d2|95d23f2d-18a6-4465-b39f-ea00e2c8606f|3d97f97a-ab49-44f7-8e89-85effe7e8749,oem_directo,alta,BANDAS DE PARAGOLPE 207 DELANTERA DERECHA CORTA,7452WL,42003/1
04/060/027,https://s3.amazonaws.com/distribuidoradm/04-060-027.jpg,4,76dcdcc4-5825-4356-ab8f-a46806f634d2|95d23f2d-18a6-4465-b39f-ea00e2c8606f|3d97f97a-ab49-44f7-8e89-85effe7e8749|520ad1db-b6cc-4498-b509-8b7bce5af81f,oem_directo,alta,BANDAS DE PARAGOLPE 207 DELANTERA IZQUIERDA LARGA,7452WL,42003
04/060/026,https://s3.amazonaws.com/distribuidoradm/04-060-026.jpg,4,76dcdcc4-5825-4356-ab8f-a46806f634d2|95d23f2d-18a6-4465-b39f-ea00e2c8606f|3d97f97a-ab49-44f7-8e89-85effe7e8749|520ad1db-b6cc-4498-b509-8b7bce5af81f,oem_directo,alta,BANDAS DE PARAGOLPE 207 DELANTERA DERECHA CORTA,7452WL,42003
04/059/028,https://s3.amazonaws.com/distribuidoradm/04-059-028.jpg,3,6513109b-895c-46e8-8858-e65f2241d3b6|8bb66248-4bd6-49eb-9c53-38af9254c3a7|9ebe43c3-2adf-4330-9bca-9b48c7151949,oem_directo,alta,ALMAS DE PARAGOLPE 207 SUPERIOR,7416P6,42003
04/053/004,https://s3.amazonaws.com/distribuidoradm/04-053-004.jpg,1,389b59f1-d81c-4dce-97a5-171199d5ee9d,cromosol_equivalencia,alta,PORTAPATENTES 207,7551470N,42003
04/052/161,https://s3.amazonaws.com/distribuidoradm/04-052-161.jpg,2,ec0c2e73-3a13-4ead-bc8b-5260c7197415|5d7870c2-2d2c-42ff-85a4-0c2e603f25cd,oem_directo,alta,PARTES DE CARROCERIA 207 08/ GUARDABARRO DELANTERO C/AGUJERO IZQUIERDO,7840W7,42003
04/052/160,https://s3.amazonaws.com/distribuidoradm/04-052-160.jpg,3,d9d852c2-9e6d-4752-87fc-f247ba9b6e79|1a7294b1-e3e0-4f19-9b67-07cd1ea113ee|1555d3e9-82c2-40d5-b5a7-788d40504c1d,oem_directo,alta,PARTES DE CARROCERIA 207 08/ GUARDABARRO DELANTERO C/AGUJERO DERECHO,7841Y9,42003
04/052/148,https://s3.amazonaws.com/distribuidoradm/04-052-148.jpg,3,4656d9c4-2a0c-4544-b93b-810f425e2bc8|0ce34f1f-63d5-48b2-983d-476d320cdf6b|dcba353b-b148-44cb-8ed7-02a0cb0d83b3,oem_directo,alta,PARTES DE CARROCERIA 207 08/ CAPOT,7901R5,42003
04/027/109,https://s3.amazonaws.com/distribuidoradm/04-027-109.jpg,10,389b59f1-d81c-4dce-97a5-171199d5ee9d|43f29f34-e46a-4a4f-99a9-56e47e0a5267|d83b708a-cf1a-4902-b6d2-6eff6cf3ec0c|d3208044-937c-4399-8b73-64951095fefe|d2f20cf6-7c55-4978-9831-7ba61bf652f5|4e93dd33-9936-4003-af3d-f2b1da6b7d48|e176edd8-8847-4053-a350-c665bda1416b|980ededf-bb1c-419b-8aa4-ef83cd2d07e4|0f98af34-c42c-443c-b123-910fcc34fb8c|03afbe9b-3e93-4896-a29a-bf44a07f0e47,oem_directo,alta,PARAGOLPES 207 SEDAN DELANTERO S/AGUJERO,7401QL,42003
04/060/027,https://s3.amazonaws.com/distribuidoradm/04-060-027.jpg,4,76dcdcc4-5825-4356-ab8f-a46806f634d2|95d23f2d-18a6-4465-b39f-ea00e2c8606f|3d97f97a-ab49-44f7-8e89-85effe7e8749|520ad1db-b6cc-4498-b509-8b7bce5af81f,oem_directo,alta,BANDAS DE PARAGOLPE 207 DELANTERA IZQUIERDA LARGA,7452WL,42003/11I
04/008/030,https://s3.amazonaws.com/distribuidoradm/04-008-030.jpg,5,7c3f725f-ca0e-4fb9-8de2-ab6e480e904d|2990e7a7-a08f-49d1-b19d-dcde1076a11e|4a778339-88a9-4101-8b95-c3924101c442|cb961de9-e555-496f-ad74-34dd5c914dd0|384d0080-11a7-4b2a-802e-f996952d1fc2,oem_directo,alta,CANALIZADORES DE AIRE 308/408/ 11/15 / CITROEN C4 LOUNGE 13/,9807656080,42007
